Bayer Name	RA	Dec	Mag
23Del Eri	3.72	-9.77	3.52
14 Tau	3.73	19.67	6.13
Bet Ret	3.74	-64.81	3.84
38Omi Per	3.74	32.29	3.84
24 Eri	3.74	-1.16	5.24
16 Tau	3.75	24.29	5.45
17 Tau	3.75	24.11	3.72
25 Eri	3.75	-0.30	5.56
18 Tau	3.75	24.84	5.66
41Nu  Per	3.75	42.58	3.77
19 Tau	3.75	24.47	4.3
29 Tau	3.76	6.05	5.34
20 Tau	3.76	24.37	3.87
21 Tau	3.77	24.55	5.76
22 Tau	3.77	24.53	6.43
26Pi  Eri	3.77	-12.10	4.43
23 Tau	3.77	23.95	4.14
Sig For	3.77	-29.34	5.91
27Tau6Eri	3.78	-23.25	4.22
Gam Hyi	3.79	-74.24	3.26
25Eta Tau	3.79	24.11	2.85
28Tau7Eri	3.79	-23.87	5.24
Rho For	3.80	-30.17	5.52
30 Tau	3.80	11.14	5.08
27 Tau	3.82	24.05	3.62
28 Tau	3.82	24.14	5.05
42 Per	3.83	33.09	5.14
Gam Cam	3.84	71.33	4.59
31 Tau	3.87	6.53	5.66
30 Eri	3.88	-5.36	5.48
33Tau8Eri	3.90	-24.61	4.64
44Zet Per	3.90	31.88	2.84
32 Eri	3.90	-2.95	4.46
43 Per	3.94	50.70	5.28
32 Tau	3.95	22.48	5.62
33 Tau	3.95	23.18	6.05
45Eps Per	3.96	40.01	2.9
34Gam Eri	3.97	-13.51	2.97
Del Ret	3.98	-61.40	4.56
46Xi  Per	3.98	35.79	3.98
36Tau9Eri	4.00	-24.02	4.62
35Lam Tau	4.01	12.49	3.41
Gam Ret	4.01	-62.16	4.48
Iot Ret	4.02	-61.08	4.97
35 Eri	4.03	-1.55	5.28
38Nu  Tau	4.05	5.99	3.91
40 Tau	4.06	5.44	5.32
36 Tau	4.07	24.11	5.46
37 Tau	4.08	22.08	4.36
39 Tau	4.09	22.01	5.9
47Lam Per	4.11	50.35	4.25
41 Tau	4.11	27.60	5.18
42Psi Tau	4.12	29.00	5.21
49 Per	4.14	37.73	6.07
50 Per	4.14	38.04	5.52
48 Per	4.14	47.71	3.96
43Ome1Tau	4.15	19.61	5.51
37 Eri	4.17	-6.92	5.44
44 Tau	4.18	26.48	5.39
Del Hor	4.18	-41.99	4.93
45 Tau	4.19	5.52	5.71
